chinese,pinyin,english,spanish,french,portuguese,vietnamese,thai,khmer,indonesian,malay,filipino
需要,xū yào,Need,Necesidad,Besoin,Precisa,Cần,ต้องการ,ត្រូវការ,Butuh,Perlu,Kailangan
想要,xiǎng yào,Want,Quiero,Voulez,Quer,Muốn,ต้องการ,ចង់បាន,Ingin,Mahu,Gusto
希望,xī wàng,Hope,Esperanza,Espoir,Esperança,Hy Vọng,หวัง,ក្តីសង្ឃឹម,Harapan,Harapan,Sana
愿望,yuàn wàng,Desire,Deseo,Désir,Desejo,Khát khao,ความปรารถนา,ចង់បាន,Keinginan,Keinginan,Pagnanais
盼望,pàn wàng,Hope,Esperanza,Espoir,Esperança,Hy Vọng,หวัง,ក្តីសង្ឃឹម,Harapan,Harapan,Sana
期待,qī dài,Expectation,Expectativa,Attente,Expectativa,Kỳ Vọng,ความคาดหวัง,ការរំពឹងទុក,Harapan,Jangkaan,Inaasahan
渴望,kě wàng,Desire,Deseo,Désir,Desejo,Khát khao,ความปรารถนา,ចង់បាន,Keinginan,Keinginan,Pagnanais
要求,yāo qiú,Requirement,Requisito,Exigence,Requisito,Yêu cầu,ข้อกำหนด,តម្រូវការ,Persyaratan,Keperluan,Kinakailangan
不必,bù bì,Not necessary,No es necesario,Pas nécessaire,Não é necessário,Không cần thiết,ไม่จำเป็น,មិនចាំបាច់,Tidak perlu,Tidak perlu,Hindi kinakailangan
不用,bù yòng,Not necessary,No es necesario,Pas nécessaire,Não é necessário,Không cần thiết,ไม่จำเป็น,មិនចាំបាច់,Tidak perlu,Tidak perlu,Hindi kinakailangan
急需,jí xū,Urgent need,Necesidad urgente,Besoin urgent,Necessidade urgente,Đang cần gấp,ต้องการด่วน,តម្រូវការបន្ទាន់,Kebutuhan mendesak,Keperluan mendesak,Kagyat na pangangailangan
务必,wù bì,Must,Debe,Doit,Deve,Phải,ต้อง,ត្រូវតែ,Harus,Mesti,Dapat
非得,fēi děi,Must,Debe,Doit,Deve,Phải,ต้อง,ត្រូវតែ,Harus,Mesti,Dapat
亟需,jí xū,Urgently needed,Se necesita con urgencia,Besoin urgent,Necessário com urgência,Đang cần gấp,ต้องการด่วน,ត្រូវការជាបន្ទាន់,Dibutuhkan segera,Segera diperlukan,Agarang kailangan
迫切,pò qiè,Urgent,Urgente,Urgent,Urgente,Khẩn cấp,ด่วน,ការស្រាវជ្រាវបន្ទាន់ || ការស្រាវជ្រាវបន្ទាន់ || ត្រូវការអ្នក,Mendesak,Urgent,Kagyat
紧迫,jǐn pò,Urgent,Urgente,Urgent,Urgente,Khẩn cấp,ด่วน,ត្រូវការវាខ្លាំងណាស់,Mendesak,Urgent,Kagyat
需要你,xū yào nǐ,Need you,Te necesito,Besoin de toi,Preciso de você,Cần bạn,ต้องการคุณ,ចង់ទិញ,Membutuhkanmu,Perlu anda,Kailangan ka
很需要,hěn xū yào,Need it very much,Lo necesito mucho,J'en ai vraiment besoin,Preciso muito,Đang rất cần,ต้องการมันมาก,ចង់បានវាខ្លាំងណាស់,Sangat membutuhkannya,Memerlukannya,Kailangan ito ng sobra
