spanish,english,chinese,pinyin,portuguese
levanto,I lift,我举起,wǒ jǔ qǐ,Eu levanto
levantas,you lift,你举起,nǐ jǔ qǐ,você levanta
levanta,lift,举起,jǔ qǐ,levantar
levantamos,we lift,我们举起,wǒ men jǔ qǐ,levantamos
levantáis,you rise,你升起,nǐ shēng qǐ,você sobe
levantan,lift,举起,jǔ qǐ,levantar
levantar,lift,举起,jǔ qǐ,levantar
levantarse,get up,起来,qǐ lái,levante-se
despertador,alarm clock,闹钟,nào zhōng,despertador
alzar,raise,提高,tí gāo,aumentar
yo levanto,I lift,我举起,wǒ jǔ qǐ,Eu levanto
lo levanto,I lift it,我举起它,wǒ jǔ qǐ tā,Eu levanto
tú levantas,you lift,你举起,nǐ jǔ qǐ,você levanta
lo levantas,you lift it,你举起它,nǐ jǔ qǐ tā,você levanta
él levanta,he lifts,他举起,tā jǔ qǐ,ele levanta
lo levanta,lifts it,举起它,jǔ qǐ tā,levanta
nosotros levantamos,we lift,我们举起,wǒ men jǔ qǐ,levantamos
lo levantamos,we lift it,我们举起它,wǒ men jǔ qǐ tā,nós levantamos
vosotros levantáis,you rise,你升起,nǐ shēng qǐ,você sobe
lo levantáis,you lift it,你举起它,nǐ jǔ qǐ tā,você levanta
ellos levantan,they lift,他们举起,tā men jǔ qǐ,eles levantam
lo levantan,they lift it,他们举起它,tā men jǔ qǐ tā,eles levantam
hay que levantar,you have to lift,你必须举起,nǐ bì xū jǔ qǐ,você tem que levantar
voy a levantar,I'm going to lift,我要举,wǒ yào jǔ,Vou levantar
hay que levantarse,you have to get up,你必须起床,nǐ bì xū qǐ chuáng,você tem que se levantar
antes de levantarse,before getting up,起床前,qǐ chuáng qián,antes de levantar
el despertador,the alarm clock,闹钟,nào zhōng,o despertador
un despertador,an alarm clock,闹钟,nào zhōng,um despertador
hay que alzar,you have to raise,你必须提高,nǐ bì xū tí gāo,você tem que aumentar
voy a alzar,I'm going to lift,我要举起,wǒ yào jǔ qǐ,eu vou levantar
