spanish,english,chinese,pinyin,portuguese
creas,you believe,你创造,nǐ chuàng zào,você acredita
crea,create,创建,chuàng jiàn,criar
creamos,we create,我们创造,wǒ men chuàng zào,nós criamos
creáis,you believe,你创造,nǐ chuàng zào,você acredita
crean,create,创建,chuàng jiàn,criar
crear,create,创建,chuàng jiàn,criar
creación,creation,创造,chuàng zào,criação
creador,creator,创造者,chuàng zào zhě,criador
inventar,invent,发明,fā míng,inventar
elaborar,elaborate,制作,zhì zuò,elaborado
tú creas,you believe,你创造,nǐ chuàng zào,você acredita
qué creas,what do you think,你觉得怎么样,nǐ jué de zěn me yàng,o que você acha
él crea,he creates,他创造,tā chuàng zào,ele cria
lo crea,creates it,创建它,chuàng jiàn tā,cria
nosotros creamos,we create,我们创造,wǒ men chuàng zào,nós criamos
lo creamos,we created it,我们创造了它,wǒ men chuàng zào le tā,nós criamos
vosotros creáis,you believe,你们创造,nǐ men chuàng zào,você acredita
lo creáis,believe it,相信吧,xiāng xìn ba,acredite
ellos crean,they create,他们创造,tā men chuàng zào,eles criam
lo crean,they believe it,他们相信,tā men xiāng xìn,eles acreditam
quiero crear,I want to create,我想创建,wǒ xiǎng chuàng jiàn,Eu quero criar
voy a crear,I will create,我将创造,wǒ jiāng chuàng zào,Eu vou criar
la creación,the creation,创造,chuàng zào,a criação
una creación,a creation,创造,chuàng zào,uma criação
el creador,the creator,创造者,chuàng zào zhě,o criador
un creador,a creator,创造者,chuàng zào zhě,um criador
hay que inventar,you have to invent,你必须发明,nǐ bì xū fà míng,você tem que inventar
voy a inventar,I'm going to invent,我要发明,wǒ yào fā míng,Vou inventar
hay que elaborar,you have to elaborate,你必须详细说明,nǐ bì xū xiáng xì shuō míng,você tem que elaborar
voy a elaborar,I'm going to elaborate,我将详细说明,wǒ jiāng xiáng xì shuō míng,vou elaborar
