spanish,english,chinese,pinyin,portuguese
recuerdo,I remember,我记得,wǒ jì de,Eu lembro
recuerdas,do you remember,你还记得,nǐ hái jì de,você se lembra
recuerda,remember,记住,jì zhù,lembre-se
recordamos,we remember,我们记得,wǒ men jì de,lembramos
recordáis,do you remember,你还记得,nǐ hái jì de,você se lembra
recuerdan,remember,记住,jì zhù,lembre-se
recordar,remember,记住,jì zhù,lembre-se
recuerdos,memories,回忆,huí yì,memórias
memorias,memories,回忆,huí yì,memórias
memoria,memory,记忆,jì yì,memória
yo recuerdo,I remember,我记得,wǒ jì de,Eu lembro
lo recuerdo,I remember,我记得,wǒ jì de,Eu lembro
tú recuerdas,you remember,你还记得,nǐ hái jì de,você se lembra
lo recuerdas,do you remember,你还记得,nǐ hái jì de,você se lembra
él recuerda,he remembers,他记得,tā jì de,ele se lembra
lo recuerda,remember it,记住它,jì zhù tā,lembre-se disso
nosotros recordamos,we remember,我们记得,wǒ men jì de,lembramos
lo recordamos,we remember,我们记得,wǒ men jì de,lembramos
vosotros recordáis,you remember,你还记得,nǐ hái jì de,você se lembra
lo recordáis,you remember,你还记得,nǐ hái jì de,você se lembra
ellos recuerdan,they remember,他们记得,tā men jì de,eles se lembram
lo recuerdan,they remember it,他们记得它,tā men jì de tā,eles se lembram disso
quiero recordar,I want to remember,我要记住,wǒ yào jì zhù,Quero lembrar
hay que recordar,you have to remember,你必须记住,nǐ bì xū jì zhù,você tem que lembrar
los recuerdos,the memories,回忆,huí yì,as memórias
buenos recuerdos,good memories,美好的回忆,měi hǎo de huí yì,boas lembranças
las memorias,the memories,回忆,huí yì,as memórias
buenas memorias,good memories,美好的回忆,měi hǎo de huí yì,boas lembranças
la memoria,memory,内存,nèi cún,memória
buena memoria,good memory,好记性,hǎo jì xìng,boa memória
