spanish,english,chinese,pinyin,portuguese
comercio,trade,贸易,mào yì,comércio
comerciante,merchant,商人,shāng rén,comerciante
vendedor,seller,卖家,mài jiā,vendedor
vendedora,saleswoman,女售货员,nǚ shòu huò yuán,vendedora
comprador,buyer,买家,mǎi jiā,comprador
compradora,buyer,买家,mǎi jiā,comprador
mostrador,counter,柜台,guì tái,contador
escaparate,showcase,橱窗,chú chuāng,vitrine
vitrina,showcase,展示柜,zhǎn shì guì,vitrine
probador,fitting room,试衣间,shì yī jiān,provador
ticket,ticket,票,piào,bilhete
rebaja,discount,折扣,zhé kòu,desconto
minorista,retailer,零售商,líng shòu shāng,varejista
mayorista,wholesaler,批发商,pī fā shāng,atacadista
distribuidor,distributor,经销商,jīng xiāo shāng,distribuidor
existencias,stocks,库存,kù cún,ações
stock,stock,库存,kù cún,estoque
surtido,assortment,品种,pǐn zhǒng,sortimento
suministro,supply,供应,gōng yìng,fornecimento
el comercio,trade,贸易,mào yì,comércio
del comercio,of commerce,商业,shāng yè,do comércio
el comerciante,the merchant,商人,shāng rén,o comerciante
un comerciante,a merchant,商人,shāng rén,um comerciante
el vendedor,the seller,卖家,mài jiā,o vendedor
un vendedor,a seller,卖家,mài jiā,um vendedor
la vendedora,the saleswoman,女售货员,nǚ shòu huò yuán,a vendedora
una vendedora,a saleswoman,女售货员,nǚ shòu huò yuán,uma vendedora
el comprador,the buyer,买家,mǎi jiā,o comprador
un comprador,a buyer,买家,mǎi jiā,um comprador
la compradora,the buyer,买家,mǎi jiā,o comprador
una compradora,a buyer,买家,mǎi jiā,um comprador
el mostrador,the counter,柜台,guì tái,o contador
un mostrador,a counter,柜台,guì tái,um contador
el escaparate,the showcase,展示柜,zhǎn shì guì,a vitrine
un escaparate,a showcase,展示柜,zhǎn shì guì,uma vitrine
la vitrina,the showcase,展示柜,zhǎn shì guì,a vitrine
una vitrina,a showcase,展示柜,zhǎn shì guì,uma vitrine
el probador,the fitting room,试衣间,shì yī jiān,o provador
un probador,a fitting room,试衣间,shì yī jiān,um provador
el ticket,the ticket,票,piào,o ingresso
un ticket,a ticket,一张票,yī zhāng piào,um ingresso
la rebaja,the discount,折扣,zhé kòu,o desconto
en rebaja,on sale,特价,tè jià,à venda
el minorista,the retailer,零售商,líng shòu shāng,o varejista
un minorista,a retailer,零售商,líng shòu shāng,um varejista
el mayorista,the wholesaler,批发商,pī fā shāng,o atacadista
un mayorista,a wholesaler,批发商,pī fā shāng,um atacadista
el distribuidor,the distributor,经销商,jīng xiāo shāng,o distribuidor
un distribuidor,a distributor,经销商,jīng xiāo shāng,um distribuidor
las existencias,the inventory,库存,kù cún,o estoque
sin existencias,out of stock,缺货,quē huò,fora de estoque
el stock,the stock,库存,kù cún,o estoque
sin stock,out of stock,缺货,quē huò,fora de estoque
el surtido,the assortment,品种,pǐn zhǒng,o sortimento
buen surtido,good assortment,品种齐全,pǐn zhǒng qí quán,bom sortimento
el suministro,the supply,供应,gōng yìng,o fornecimento
un suministro,a supply,供应,gōng yìng,um suprimento
