spanish,english,chinese,pinyin,portuguese
sí,Yeah,是的,shì de,Sim
no,No,不,bù,Não
tal vez,maybe,或许,huò xǔ,talvez
quizás,maybe,或许,huò xǔ,talvez
claro,clear,清除,qīng chú,claro
por supuesto,of course,当然,dāng rán,claro
vale,Okay,好的,hǎo de,OK
está bien,Alright,好吧,hǎo ba,Tudo bem
de acuerdo,OK,好的,hǎo de,OK
correcto,correct,正确的,zhèng què de,correto
sí claro,yes of course,是的当然,shì dí dàng rán,sim claro
sí señor,yes sir,是的，先生,shì de ， xiān shēng,"Sim, senhor"
no gracias,"no, thanks",不，谢谢,bù ， xiè xiè,"não, obrigado"
no quiero,I don't want to,我不想,wǒ bù xiǎng,eu não quero
tal vez mañana,maybe tomorrow,也许明天,yě xǔ míng tiān,talvez amanhã
tal vez después,maybe later,也许稍后,yě xǔ shāo hòu,talvez mais tarde
quizás luego,maybe later,也许稍后,yě xǔ shāo hòu,talvez mais tarde
quizás otro día,maybe another day,也许改天,yě xǔ gǎi tiān,talvez outro dia
claro que sí,of course,当然,dāng rán,claro
pero claro,but of course,但当然,dàn dāng rán,mas é claro
por supuesto que sí,of course,当然,dāng rán,claro
sí por supuesto,yes of course,是的当然,shì dí dàng rán,sim claro
vale entonces,okay then,那么好吧,nà me hǎo ba,ok então
vale perfecto,ok perfect,好的，完美,hǎo de ， wán měi,"ok, perfeito"
todo está bien,everything's fine,一切都很好,yī qiè dōu hěn hǎo,está tudo bem
está bien gracias,that's fine thanks,没关系，谢谢,méi guān xì ， xiè xiè,"tudo bem, obrigado"
estoy de acuerdo,I agree,我同意,wǒ tóng yì,Concordo
de acuerdo contigo,agree with you,同意你的观点,tóng yì nǐ de guān diǎn,concordo com você
es correcto,it's right,是的,shì de,está certo
muy correcto,very correct,非常正确,fēi cháng zhèng què,muito correto
