english,chinese,pinyin,spanish,portuguese
food,食物,shí wù,comida,comida
water,水,shuǐ,agua,água
bread,面包,miàn bāo,pan,pão
rice,米饭,mǐ fàn,arroz,arroz
meat,肉,ròu,carne,carne
egg,鸡蛋,jī dàn,huevo,ovo
milk,牛奶,niú nǎi,leche,leite
cheese,奶酪,nǎi lào,queso,queijo
fruit,水果,shuǐ guǒ,fruta,fruta
apple,苹果,píng guǒ,manzana,maçã
banana,香蕉,xiāng jiāo,plátano,banana
vegetable,蔬菜,shū cài,vegetal,vegetal
potato,马铃薯,mǎ líng shǔ,patata,batata
salad,沙拉,shā lā,ensalada,salada
soup,汤,tāng,sopa,sopa
sugar,糖,táng,azúcar,açúcar
salt,盐,yán,sal,sal
oil,油,yóu,petróleo,óleo
snack,小吃,xiǎo chī,merienda,lanche
meal,餐,cān,comida,refeição
junk food,垃圾食品,lā jī shí pǐn,comida chatarra,comida lixo
food court,美食广场,měi shí guǎng chǎng,patio de comidas,praça de alimentação
drinking water,饮用水,yǐn yòng shuǐ,agua potable,água potável
hot water,热水,rè shuǐ,agua caliente,água quente
fresh bread,新鲜面包,xīn xiān miàn bāo,pan fresco,pão fresco
bread and butter,面包和黄油,miàn bāo hé huáng yóu,pan y mantequilla,pão com manteiga
fried rice,炒饭,chǎo fàn,arroz frito,arroz frito
rice bowl,饭碗,fàn wǎn,cuenco de arroz,tigela de arroz
red meat,红肉,hóng ròu,carne roja,carne vermelha
meat ball,肉丸,ròu wán,bola de carne,bolinho de carne
fried egg,煎蛋,jiān dàn,huevo frito,ovo frito
egg white,蛋清,dàn qīng,clara de huevo,clara de ovo
whole milk,全脂牛奶,quán zhī niú nǎi,leche entera,leite integral
milk shake,奶昔,nǎi xī,batido de leche,milk-shake
cream cheese,奶油奶酪,nǎi yóu nǎi lào,queso crema,queijo cremoso
grilled cheese,烤奶酪,kǎo nǎi lào,queso asado,queijo grelhado
fresh fruit,新鲜水果,xīn xiān shuǐ guǒ,fruta fresca,fruta fresca
fruit salad,水果沙拉,shuǐ guǒ shā lā,ensalada de frutas,salada de frutas
red apple,红苹果,hóng píng guǒ,manzana roja,maçã vermelha
apple pie,苹果派,píng guǒ pài,tarta de manzana,torta de maçã
ripe banana,成熟的香蕉,chéng shú de xiāng jiāo,plátano maduro,banana madura
banana split,香蕉船,xiāng jiāo chuán,banana split,banana split
fresh vegetable,新鲜蔬菜,xīn xiān shū cài,verdura fresca,legumes frescos
vegetable soup,蔬菜汤,shū cài tāng,sopa de verduras,sopa de legumes
baked potato,烤土豆,kǎo tǔ dòu,patata al horno,batata assada
potato chips,薯片,shǔ piàn,patatas fritas,batatas fritas
green salad,绿色沙拉,lǜ sè shā lā,ensalada verde,salada verde
salad bar,沙拉吧,shā lā ba,barra de ensaladas,buffet de saladas
hot soup,热汤,rè tāng,sopa caliente,sopa quente
soup kitchen,汤厨房,tāng chú fáng,comedor social,cozinha comunitária
white sugar,白糖,bái táng,azúcar blanca,açúcar branco
sugar free,无糖,wú táng,sin azúcar,sem açúcar
table salt,食盐,shí yán,sal de mesa,sal de cozinha
sea salt,海盐,hǎi yán,sal marina,sal marinho
olive oil,橄榄油,gǎn lǎn yóu,aceite de oliva,azeite
cooking oil,食用油,shí yòng yóu,aceite de cocina,óleo de cozinha
quick snack,快餐,kuài cān,merienda rápida,lanche rápido
snack bar,小吃店,xiǎo chī diàn,cafetería,lanchonete
big meal,大餐,dà cān,gran comida,grande refeição
meal time,用餐时间,yòng cān shí jiān,hora de comer,hora da refeição
