english,chinese,pinyin,spanish,portuguese
literary,文学,wén xué,literario,literário
narrative,叙述,xù shù,narrativa,narrativa
theme,主题,zhǔ tí,tema,tema
symbol,符号,fú hào,símbolo,símbolo
metaphor,比喻,bǐ yù,metáfora,metáfora
simile,明喻,míng yù,símil,comparação
protagonist,主角,zhǔ jué,protagonista,protagonista
antagonist,对手,duì shǒu,antagonista,antagonista
setting,设置,shè zhì,ajuste,configuração
dialogue,对话,duì huà,diálogo,diálogo
tone,语气,yǔ qì,tono,tom
style,风格,fēng gé,estilo,estilo
poetry,诗,shī,poesía,poesia
prose,散文,sǎn wén,prosa,prosa
imagery,图像,tú xiàng,imágenes,imagens
allegory,寓言,yù yán,alegoría,alegoria
irony,讽刺,fěng cì,ironía,ironia
satire,讽刺,fěng cì,sátira,sátira
verse,诗句,shī jù,verso,verso
stanza,节,jié,estrofa,estrofe
literary analysis,文学分析,wén xué fēn xī,análisis literario,análise literária
literary work,文学作品,wén xué zuò pǐn,obra literaria,obra literária
first-person narrative,第一人称叙述,dì yī rén chēng xù shù,narrativa en primera persona,narrativa em primeira pessoa
narrative structure,叙事结构,xù shì jié gòu,estructura narrativa,estrutura narrativa
central theme,中心主题,zhōng xīn zhǔ tí,tema central,tema central
theme of,,,tema de,tema de
powerful symbol,的主题强大的象征,de zhǔ tí qiáng dà de xiàng zhēng,símbolo poderoso,símbolo poderoso
symbol of,,,símbolo de,símbolo de
use metaphor,的符号使用隐喻,de fú hào shǐ yòng yǐn yù,usar metáfora,usar metáfora
metaphor for,,,metáfora de,metáfora para
use simile,的隐喻使用明喻,de yǐn yù shǐ yòng míng yù,usar símil,usar comparação
simile comparing,比喻比较,bǐ yù bǐ jiào,comparación de símil,comparação comparando
main protagonist,主要主角,zhǔ yào zhǔ jué,protagonista principal,protagonista principal
protagonist of,,,protagonista de,protagonista de
main antagonist,的主角主要反派,de zhǔ jué zhǔ yào fǎn pài,antagonista principal,antagonista principal
antagonist in,,,antagonista en,antagonista em
story setting,中的对手故事设定,zhōng de duì shǒu gù shì shè dìng,ambientación de la historia,cenário da história
setting of,,,configuración de,configuração de
write dialogue,的设置写对话,de shè zhì xiě duì huà,escribir diálogo,escrever diálogo
dialogue between,,,diálogo entre,diálogo entre
serious tone,之间的对话严肃的语气,zhī jiān de duì huà yán sù de yǔ qì,tono serio,tom sério
tone of voice,语气,yǔ qì,tono de voz,tom de voz
writing style,写作风格,xiě zuò fēng gé,estilo de escritura,estilo de escrita
style guide,风格指南,fēng gé zhǐ nán,guía de estilo,guia de estilo
write poetry,写诗,xiě shī,escribir poesía,escrever poesia
poetry collection,诗集,shī jí,colección de poesía,coleção de poesia
prose writing,散文写作,sǎn wén xiě zuò,escritura en prosa,escrita em prosa
prose style,散文风格,sǎn wén fēng gé,estilo de prosa,estilo prosa
vivid imagery,生动形象,shēng dòng xíng xiàng,imágenes vívidas,imagens vívidas
imagery in,,,imágenes en,imagens em
political allegory,中的图像政治寓言,zhōng de tú xiàng zhèng zhì yù yán,alegoría política,alegoria política
allegory of,,,alegoría de,alegoria de
dramatic irony,的寓言戏剧性的讽刺,de yù yán xì jù xìng de fěng cì,ironía dramática,ironia dramática
irony in,讽刺,fěng cì,ironía en,ironia em
political satire,政治讽刺,zhèng zhì fěng cì,sátira política,sátira política
satire on,讽刺,fěng cì,sátira sobre,sátira em
poetic verse,诗句,shī jù,verso poético,verso poético
verse form,诗句形式,shī jù xíng shì,forma de verso,forma de verso
final stanza,最后一节,zuì hòu yī jié,estrofa final,estrofe final
stanza of,的节,de jié,estrofa de,estrofe de
